URL,Title,Visit Time,Visit Count,Visited From,Web Browser,User Profile,Browser Profile,URL Length,Typed Count
file:///D:/Game_workspace/01AppGuard/01ÀÚµ¿È­/inca/attacker.py,,2022-07-21 ¿ÀÀü 9:33:00,1,,Internet Explorer 10/11 / Edge,AD01713091,,59,
é¥,,2022-07-21 ¿ÀÀü 9:32:12,1,,Internet Explorer 10/11 / Edge,AD01713091,,2,
https://googleads.g.doubleclick.net/pagead/html/r20220719/r20110914/zrt_lookup.html,,2022-07-21 ¿ÀÀü 9:32:12,1,,Internet Explorer 10/11 / Edge,AD01713091,,83,
é¥,,2022-07-21 ¿ÀÀü 9:32:12,1,,Internet Explorer 10/11 / Edge,AD01713091,,2,
é¥,,2022-07-21 ¿ÀÀü 9:32:11,1,,Internet Explorer 10/11 / Edge,AD01713091,,2,
https://googleads.g.doubleclick.net/pagead/html/r20220719/r20190131/zrt_lookup.html,,2022-07-21 ¿ÀÀü 9:32:11,1,,Internet Explorer 10/11 / Edge,AD01713091,,83,
file:///D:/Game_workspace/01AppGuard/01ÀÚµ¿È­,,2022-07-21 ¿ÀÀü 9:31:54,2,,Internet Explorer 10/11 / Edge,AD01713091,,42,
file:///D:/Game_workspace/01AppGuard/01ÀÚµ¿È­/inca,,2022-07-21 ¿ÀÀü 9:31:54,1,,Internet Explorer 10/11 / Edge,AD01713091,,47,
file:///D:/Game_workspace/00ÀÚ·á/mobile/±³º¸-winK_¿ìÈ¸%20º¸°í¼­_1.0.pdf,,2022-07-20 ¿ÀÈÄ 4:50:51,2,,Internet Explorer 10/11 / Edge,AD01713091,,62,
file:///C:/Users/AD01713091/Documents/Ä«Ä«¿ÀÅå%20¹ŞÀº%20ÆÄÀÏ/±³º¸_winK(and)_¿ìÈ¸º¸°í¼­.docx,,2022-07-20 ¿ÀÈÄ 4:49:48,3,,Internet Explorer 10/11 / Edge,AD01713091,,76,
"mk:@MSITStore:D:\Tools\[P.Y.G]IDA%20Pro%207.5%20SP3(x86,%20x64,%20ARM,%20ARM64,%20PPC,%20PPC64,%20MIPS)\idahelp.chm::/564.html",,2022-07-20 ¿ÀÈÄ 4:48:03,2,,Internet Explorer 10/11 / Edge,AD01713091,,126,
file:///D:/Game_workspace/99/ipa/high1resort,,2022-07-20 ¿ÀÈÄ 4:34:05,1,,Internet Explorer 10/11 / Edge,AD01713091,,44,
mk:@MSITStore:C:\Program%20Files\IDA%207.1\idahelp.chm::/564.html,,2022-07-20 ¿ÀÈÄ 4:25:52,1,,Internet Explorer 10/11 / Edge,AD01713091,,65,
file:///D:/Game_workspace/99/ios.js,,2022-07-20 ¿ÀÈÄ 4:12:49,1,,Internet Explorer 10/11 / Edge,AD01713091,,35,
res://C:%5CUsers%5CAD0171~1%5CAppData%5CLocal%5CTemp%5Cjds1375835890.tmp%5Cjre-8u341-windows-au.exe/welcome.html,,2022-07-20 ¿ÀÀü 8:09:26,1,,Internet Explorer 10/11 / Edge,AD01713091,,112,
file:///D:/Game_workspace/01AppGuard/AppGuard_SDK_r20_210913/nProtect%20AppGuard%20API%20Reference%20Guide%20KOR%20v2.6.0.pdf,,2022-07-19 ¿ÀÈÄ 5:02:02,3,,Internet Explorer 10/11 / Edge,AD01713091,,125,
file:///D:/Game_workspace/01AppGuard/AppGuard_SDK_r20_210913/nProtect%20AppGuard%20Server-Side%20Authentication%20Guide%20KOR%20v3.0.2.pdf,,2022-07-19 ¿ÀÈÄ 5:02:01,1,,Internet Explorer 10/11 / Edge,AD01713091,,138,
file:///D:/Game_workspace/01AppGuard/00ÀÌ½´/´ë½¬º¸µå_·Î±×_»óÀÌ/IOSAUTH.png,,2022-07-19 ¿ÀÈÄ 4:18:13,1,,Internet Explorer 10/11 / Edge,AD01713091,,64,
file:///D:/Game_workspace/01AppGuard/00ÀÌ½´/´ë½¬º¸µå_·Î±×_»óÀÌ/AOSAUTH.png,,2022-07-19 ¿ÀÈÄ 4:18:05,1,,Internet Explorer 10/11 / Edge,AD01713091,,64,
file:///D:/Game_workspace/01AppGuard/00ÀÌ½´/´ë½¬º¸µå_·Î±×_»óÀÌ/AOSdash.png,,2022-07-19 ¿ÀÈÄ 4:17:54,1,,Internet Explorer 10/11 / Edge,AD01713091,,64,
file:///D:/Game_workspace/01AppGuard/00ÀÌ½´/´ë½¬º¸µå_·Î±×_»óÀÌ/iosdash.png,,2022-07-19 ¿ÀÈÄ 4:17:47,1,,Internet Explorer 10/11 / Edge,AD01713091,,64,
file:///D:/Game_workspace/01AppGuard/00ÀÌ½´,,2022-07-19 ¿ÀÈÄ 4:17:38,3,,Internet Explorer 10/11 / Edge,AD01713091,,41,
file:///D:/Game_workspace/01AppGuard/00ÀÌ½´/´ë½¬º¸µå_·Î±×_»óÀÌ,,2022-07-19 ¿ÀÈÄ 4:17:38,1,,Internet Explorer 10/11 / Edge,AD01713091,,52,
file:///C:/Users/AD01713091/Downloads/auth_statistic%20(1).csv,,2022-07-19 ¿ÀÈÄ 4:03:09,1,,Internet Explorer 10/11 / Edge,AD01713091,,62,
file:///C:/Users/AD01713091/Downloads/auth_statistic.csv,,2022-07-19 ¿ÀÈÄ 4:03:07,1,,Internet Explorer 10/11 / Edge,AD01713091,,56,
file:///D:/IR/½º¼¦/¸Ş¸ğ¸®´ıÇÁ±â´É.png,,2022-07-19 ¿ÀÈÄ 2:12:50,2,,Internet Explorer 10/11 / Edge,AD01713091,,28,
file:///D:/IR,,2022-07-19 ¿ÀÈÄ 2:10:01,4,,Internet Explorer 10/11 / Edge,AD01713091,,13,
file:///D:/IR/½º¼¦,,2022-07-19 ¿ÀÈÄ 2:10:01,1,,Internet Explorer 10/11 / Edge,AD01713091,,16,
file:///D:/Game_workspace/11UWO,,2022-07-19 ¿ÀÈÄ 2:04:02,1,,Internet Explorer 10/11 / Edge,AD01713091,,31,
file:///D:/Game_workspace/99,,2022-07-19 ¿ÀÀü 9:49:29,2,,Internet Explorer 10/11 / Edge,AD01713091,,28,
file:///D:/Game_workspace/99/test2.js,,2022-07-19 ¿ÀÀü 9:22:21,1,,Internet Explorer 10/11 / Edge,AD01713091,,37,
file:///D:/Game_workspace/00ÀÚ·á/mobile/¸ğ¹ÙÀÏ_ºĞ¼®_º¸°í¼­_¸ŞÆ®¶óÀÌÇÁ_Á¶ÇÑ¼Ö_And_v1.0.pdf,,2022-07-19 ¿ÀÀü 8:57:16,2,,Internet Explorer 10/11 / Edge,AD01713091,,71,
file:///D:/Game_workspace/00ÀÚ·á/mobile/¸ğ¹ÙÀÏ_ºĞ¼®_º¸°í¼­_±³º¸¶óÀÌÇÁÇÃ·¡´Ö_And_Á¶ÇÑ¼Ö_v1.0.pdf,,2022-07-19 ¿ÀÀü 8:57:02,2,,Internet Explorer 10/11 / Edge,AD01713091,,74,
file:///D:/Game_workspace/99/test.js,,2022-07-19 ¿ÀÀü 8:46:48,1,,Internet Explorer 10/11 / Edge,AD01713091,,36,
file:///D:/Game_workspace/99/highoneresort.apk,,2022-07-18 ¿ÀÈÄ 4:31:20,1,,Internet Explorer 10/11 / Edge,AD01713091,,46,
